특성 (Characteristics),Anxiety,Depression,Stress
전체 샘플 수 (명),"281,138",,
,,,
타겟별 분포,,,
  Train,"176,160 (62.7%)","10,358 (3.7%)","10,276 (3.7%)"
  Validation,"50,332 (17.9%)","2,960 (1.1%)","2,937 (1.0%)"
  Test,"25,166 (8.9%)","1,480 (0.5%)","1,469 (0.5%)"
  이벤트 비율 (%),6.6,47.4,24.6
,,,
특징 변수,,,
(정상군 → 이벤트군),,,
  - 수면 지표,,,
    • 총 수면시간,380 → 384 min,381 → 384 min,382 → 383 min
    • REM 수면,114 → 117 min,115 → 117 min,115 → 116 min
,,,
  - 심혈관 지표,,,
    • 심박수,78.5 → 78.8 bpm,78.5 → 78.8 bpm,78.3 → 78.8 bpm
    • 심박변이도,25.4 → 24.9 ms,25.4 → 24.7 ms,25.3 → 25.1 ms
,,,
  - 활동 지표,,,
    • 걸음수,4834 → 4674 steps,4839 → 4731 steps,4922 → 4685 steps
    • 센서 활동,11 → 11 count,11 → 11 count,11 → 11 count
,,,
  - 대사/체온 지표,,,
    • 체온,35.3 → 35.2 °C,35.3 → 35.2 °C,35.3 → 35.2 °C
    • 피부온도,28.8 → 28.7 °C,28.8 → 28.6 °C,28.8 → 28.7 °C
,,,
  - 기타,,,
    • 산소포화도,97.4 → 97.4 %,97.4 → 97.4 %,97.4 → 97.4 %
,,,
  총 특징 변수 (개),9,9,9
,,,
데이터 전처리,,,
  - 결측치 처리,중앙값 대체,(Median imputation),
  - 이상치 처리,IQR 기반 클리핑,"(Q1-1.5×IQR, Q3+1.5×IQR)",
  - 표준화 방법,StandardScaler,"(μ=0, σ=1)",
