Target,Target_Rate,Threshold,Actual_Rate,Error,Count,Total
anxiety,11.437565582371459,1,8.462675535846268,2.974890046525191,21297,251658
anxiety,11.437565582371459,2,6.560490824849598,4.877074757521861,16510,251658
anxiety,11.437565582371459,3,4.0968298246032315,7.340735757768227,10310,251658
anxiety,11.437565582371459,4,1.2091807135080148,10.228384868863444,3043,251658
anxiety,11.437565582371459,5,0.35921766842301855,11.07834791394844,904,251658
anxiety,11.437565582371459,6,0.06596253645820915,11.37160304591325,166,251658
depression,17.523609653725078,1,100.0,82.47639034627493,12923,12923
depression,17.523609653725078,2,86.27253733653177,68.7489276828067,11149,12923
depression,17.523609653725078,3,70.09982202275013,52.57621236902506,9059,12923
depression,17.523609653725078,4,53.40091310067322,35.87730344694815,6901,12923
depression,17.523609653725078,5,41.58477133792463,24.06116168419955,5374,12923
depression,17.523609653725078,6,18.2929660295597,0.7693563758346222,2364,12923
stress,58.16649104320337,1,100.0,41.83350895679663,13503,13503
stress,58.16649104320337,2,93.68288528475153,35.51639424154816,12650,13503
stress,58.16649104320337,3,84.28497370954602,26.11848266634265,11381,13503
stress,58.16649104320337,4,76.51632970451011,18.34983866130674,10332,13503
stress,58.16649104320337,5,61.88254461971414,3.7160535765107667,8356,13503
stress,58.16649104320337,6,26.416351921795155,31.750139121408218,3567,13503
